F_One_Name	Parent_A	Parent_A_Score	Parent_B	Parent_B_Score	TotalMarkers	Polymorphic	Call_Hetero	Call_ParentA	Call_ParentB	Call_Missing	Percentage_Het	Comment
ICMX 2010783:8	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:9	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:10	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:11	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010784:9	ICMR 15666	100.0	ICMR 102180	98.32	30	13	2	2	1	8	15.38	failedF1
ICMX 2010784:10	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:11	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:12	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:1	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:13	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:2	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:14	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:3	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:15	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:4	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:5	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:6	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:7	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010784:8	ICMR 15666	100.0	ICMR 102180	98.32	30	13	4	1	0	8	30.77	failedF1
ICMX 2010785:6	ICMR 18777	100.0	ICMR 102180	98.32	30	14	4	0	0	10	28.57	failedF1
ICMX 2010785:7	ICMR 18777	100.0	ICMR 102180	98.32	30	14	4	0	0	10	28.57	failedF1
ICMX 2010785:8	ICMR 18777	100.0	ICMR 102180	98.32	30	14	4	1	0	9	28.57	failedF1
ICMX 2010785:9	ICMR 18777	100.0	ICMR 102180	98.32	30	14	5	0	0	9	35.71	failedF1
ICMX 2010785:10	ICMR 18777	100.0	ICMR 102180	98.32	30	14	4	1	0	9	28.57	failedF1
ICMX 2010785:1	ICMR 18777	100.0	ICMR 102180	98.32	30	14	5	0	0	9	35.71	failedF1
ICMX 2010785:2	ICMR 18777	100.0	ICMR 102180	98.32	30	14	5	0	0	9	35.71	failedF1
ICMX 2010785:3	ICMR 18777	100.0	ICMR 102180	98.32	30	14	4	1	0	9	28.57	failedF1
ICMX 2010785:4	ICMR 18777	100.0	ICMR 102180	98.32	30	14	4	1	0	9	28.57	failedF1
ICMX 2010785:5	ICMR 18777	100.0	ICMR 102180	98.32	30	14	5	0	0	9	35.71	failedF1
ICMX 2010786:8	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:9	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	5	0	11	0.0	failedF1
ICMX 2010786:10	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:11	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:12	ICMR 19777	100.0	ICMR 1804	95.42	30	16	4	2	0	10	25.0	failedF1
ICMX 2010786:1	ICMR 19777	100.0	ICMR 1804	95.42	30	16	1	4	0	11	6.25	failedF1
ICMX 2010786:13	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:2	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:14	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:3	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:4	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010786:5	ICMR 19777	100.0	ICMR 1804	95.42	30	16	4	2	0	10	25.0	failedF1
