SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	
ICMX 2010778:3	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010779:1	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010779:2	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010779:3	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010779:4	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010779:5	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010779:6	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010779:7	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010779:8	ICMX 2010779	ICMR 15666	ICMR 100931	
ICMX 2010780:5	ICMX 2010780	ICMR 17222	ICMR 100931	
ICMX 2010780:6	ICMX 2010780	ICMR 17222	ICMR 100931	
ICMX 2010780:7	ICMX 2010780	ICMR 17222	ICMR 100931	
ICMX 2010780:1	ICMX 2010780	ICMR 17222	ICMR 100931	
ICMX 2010780:2	ICMX 2010780	ICMR 17222	ICMR 100931	
ICMX 2010780:3	ICMX 2010780	ICMR 17222	ICMR 100931	
ICMX 2010780:4	ICMX 2010780	ICMR 17222	ICMR 100931	
ICMX 2010781:1	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:2	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:3	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:15	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:4	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:5	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:6	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:7	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:8	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:9	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:10	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:11	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:12	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:13	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010781:14	ICMX 2010781	ICMR 102387	ICMX 1410895-B-8-1-2	
ICMX 2010783:12	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:1	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:13	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:2	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:3	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:4	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:5	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:6	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
ICMX 2010783:7	ICMX 2010783	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102542	
