SAMPLE_UID	DESIGNATION	SAMPLE_NAME	PARENT_A	PARENT_B
8TNISnBxpsX36	ICMX 2010793	ICMX 2010793:8	ICMR 19777	ICMR 102622
8TNISMr0DJ1ui	ICMX 2010793	ICMX 2010793:9	ICMR 19777	ICMR 102622
8TNISZ5K6lKKS	ICMX 2010794	ICMX 2010794:9	ICMR 100487	ICMR 102621
8TNISfBTxYyU7	ICMX 2010794	ICMX 2010794:1	ICMR 100487	ICMR 102621
8TNIS08nX0MU8	ICMX 2010794	ICMX 2010794:2	ICMR 100487	ICMR 102621
8TNISHT7O2jhX	ICMX 2010794	ICMX 2010794:3	ICMR 100487	ICMR 102621
8TNISzR5gELcq	ICMX 2010794	ICMX 2010794:4	ICMR 100487	ICMR 102621
8TNISPP82lQWr	ICMX 2010794	ICMX 2010794:5	ICMR 100487	ICMR 102621
8TNISocq5yOpH	ICMX 2010794	ICMX 2010794:6	ICMR 100487	ICMR 102621
8TNISPkbQ2jk9	ICMX 2010794	ICMX 2010794:7	ICMR 100487	ICMR 102621
8TNIS3mKAuE9P	ICMX 2010794	ICMX 2010794:8	ICMR 100487	ICMR 102621
8TNISQmdWYNJk	ICMX 2010795	ICMX 2010795:1	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNISkpRpqCNE	ICMX 2010795	ICMX 2010795:2	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNIS41Z9q8LJ	ICMX 2010795	ICMX 2010795:3	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNISxf4XLq5P	ICMX 2010795	ICMX 2010795:4	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNISvkMd9Bnl	ICMX 2010795	ICMX 2010795:5	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNIS3hwM6kqa	ICMX 2010795	ICMX 2010795:6	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNISVbLDhZ34	ICMX 2010795	ICMX 2010795:7	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNIS25Cz0k4r	ICMX 2010795	ICMX 2010795:8	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
8TNIS5pTEDK6f	ICMX 2010796	ICMX 2010796:8	ICMR 17222	ICMR 102624
8TNISyAyIwLXE	ICMX 2010796	ICMX 2010796:9	ICMR 17222	ICMR 102624
8TNISJat6k1um	ICMX 2010796	ICMX 2010796:10	ICMR 17222	ICMR 102624
8TNISw4QSNbwH	ICMX 2010796	ICMX 2010796:11	ICMR 17222	ICMR 102624
