DESIGNATION	SAMPLE_UID
ICMB 101994:3	ICMB 101994
ICMB 101994:4	ICMB 101994
ICMB 101994:5	ICMB 101994
ICMB 101974:1	ICMB 101974
ICMB 101974:2	ICMB 101974
ICMB 101974:3	ICMB 101974
ICMB 101974:4	ICMB 101974
ICMB 101974:5	ICMB 101974
ICMB 101975:1	ICMB 101975
ICMB 101975:2	ICMB 101975
ICMB 101975:3	ICMB 101975
ICMB 101975:4	ICMB 101975
ICMB 101975:5	ICMB 101975
ICMB 11222:9	ICMB 11222
ICMB 11222:10	ICMB 11222
ICMB 11222:11	ICMB 11222
ICMB 11222:12	ICMB 11222
ICMB 11222:13	ICMB 11222
ICMB 17555:9	ICMB 17555
ICMB 17555:10	ICMB 17555
ICMB 17555:11	ICMB 17555
ICMB 17555:12	ICMB 17555
ICMB 17555:13	ICMB 17555
ICMB 18333:1	ICMB 18333
ICMB 18333:2	ICMB 18333
ICMB 18333:3	ICMB 18333
ICMB 18333:4	ICMB 18333
ICMB 18333:5	ICMB 18333
ICMB 18444:4	ICMB 18444
ICMB 18444:5	ICMB 18444
ICMB 18444:6	ICMB 18444
ICMB 18444:7	ICMB 18444
ICMB 18444:8	ICMB 18444
ICMB 101980:1	ICMB 101980
ICMB 101980:2	ICMB 101980
ICMB 101980:3	ICMB 101980
ICMB 101980:4	ICMB 101980
ICMB 101980:5	ICMB 101980
ICMB 10222:1	ICMB 10222
ICMB 10222:2	ICMB 10222
ICMB 10222:3	ICMB 10222
ICMB 10222:4	ICMB 10222
ICMB 10222:5	ICMB 10222
ICMB 101981:1	ICMB 101981
ICMB 101981:2	ICMB 101981
ICMB 101981:3	ICMB 101981
ICMB 101981:4	ICMB 101981
ICMB 101981:5	ICMB 101981
ICMB 100133:1	ICMB 100133
ICMB 100133:2	ICMB 100133
ICMB 100133:3	ICMB 100133
ICMB 100133:4	ICMB 100133
ICMB 100133:5	ICMB 100133
ICMB 07444:1	ICMB 07444
ICMB 07444:2	ICMB 07444
ICMB 07444:3	ICMB 07444
ICMB 07444:4	ICMB 07444
ICMB 07444:5	ICMB 07444
ICMB 08999:1	ICMB 08999
ICMB 08999:2	ICMB 08999
ICMB 08999:3	ICMB 08999
ICMB 08999:4	ICMB 08999
ICMB 08999:5	ICMB 08999
ICMB 09555:1	ICMB 09555
ICMB 09555:2	ICMB 09555
ICMB 09555:3	ICMB 09555
ICMB 09555:4	ICMB 09555
ICMB 09555:5	ICMB 09555
ICMB 101644:9	ICMB 101644
ICMB 101644:10	ICMB 101644
ICMB 101644:11	ICMB 101644
ICMB 101644:12	ICMB 101644
ICMB 101644:13	ICMB 101644
ICMB 101982:1	ICMB 101982
ICMB 101982:2	ICMB 101982
ICMB 101982:3	ICMB 101982
ICMB 101982:4	ICMB 101982
ICMB 101982:5	ICMB 101982
ICMB 101986:1	ICMB 101986
ICMB 101986:2	ICMB 101986
ICMB 101986:3	ICMB 101986
ICMB 101986:4	ICMB 101986
ICMB 101986:5	ICMB 101986
ICMB 101987:1	ICMB 101987
ICMB 101987:2	ICMB 101987
ICMB 101987:3	ICMB 101987
ICMB 101987:4	ICMB 101987
ICMB 101987:5	ICMB 101987
ICMB 100103:1	ICMB 100103
ICMB 100103:2	ICMB 100103
ICMB 100103:3	ICMB 100103
ICMB 100103:4	ICMB 100103
ICMB 100103:5	ICMB 100103
ICMB 18666:1	ICMB 18666
ICMB 18666:2	ICMB 18666
ICMB 18666:3	ICMB 18666
ICMB 18666:4	ICMB 18666
ICMB 18666:5	ICMB 18666
ICMB 101988:1	ICMB 101988
ICMB 101988:2	ICMB 101988
ICMB 101988:3	ICMB 101988
ICMB 101988:4	ICMB 101988
ICMB 101988:5	ICMB 101988
ICMB 101989:1	ICMB 101989
ICMB 101989:2	ICMB 101989
ICMB 101989:3	ICMB 101989
ICMB 101989:4	ICMB 101989
ICMB 101989:5	ICMB 101989
ICMB 13777:1	ICMB 13777
ICMB 13777:2	ICMB 13777
ICMB 13777:3	ICMB 13777
ICMB 13777:4	ICMB 13777
ICMB 13777:5	ICMB 13777
ICMB 101990:1	ICMB 101990
ICMB 101990:2	ICMB 101990
ICMB 101990:3	ICMB 101990
ICMB 101990:4	ICMB 101990
ICMB 101990:5	ICMB 101990
ICMB 15666:1	ICMB 15666
ICMB 15666:2	ICMB 15666
ICMB 15666:3	ICMB 15666
ICMB 15666:4	ICMB 15666
ICMB 15666:5	ICMB 15666
ICMB 15777:1	ICMB 15777
ICMB 15777:2	ICMB 15777
ICMB 15777:3	ICMB 15777
ICMB 15777:4	ICMB 15777
ICMB 15777:5	ICMB 15777
ICMB 16666:1	ICMB 16666
ICMB 16666:2	ICMB 16666
ICMB 16666:3	ICMB 16666
ICMB 16666:4	ICMB 16666
ICMB 16666:5	ICMB 16666
ICMB 101932:1	ICMB 101932
ICMB 101932:2	ICMB 101932
ICMB 101932:3	ICMB 101932
ICMB 101932:4	ICMB 101932
ICMB 101932:5	ICMB 101932
ICMB 101551:1	ICMB 101551
ICMB 101551:2	ICMB 101551
ICMB 101551:3	ICMB 101551
ICMB 101551:4	ICMB 101551
ICMB 101551:5	ICMB 101551
ICMB 101410:1	ICMB 101410
ICMB 101410:2	ICMB 101410
ICMB 101410:3	ICMB 101410
ICMB 101410:4	ICMB 101410
ICMB 101410:5	ICMB 101410
ICMB 100132:1	ICMB 100132
ICMB 100132:2	ICMB 100132
ICMB 100132:3	ICMB 100132
ICMB 100132:4	ICMB 100132
ICMB 100132:5	ICMB 100132
ICMB 101922:1	ICMB 101922
ICMB 101922:2	ICMB 101922
ICMB 101922:3	ICMB 101922
ICMB 101922:4	ICMB 101922
ICMB 101922:5	ICMB 101922
ICMB 101991:1	ICMB 101991
ICMB 101991:2	ICMB 101991
ICMB 101991:3	ICMB 101991
ICMB 101991:4	ICMB 101991
ICMB 101991:5	ICMB 101991
ICMB 101992:1	ICMB 101992
ICMB 101992:2	ICMB 101992
ICMB 101992:3	ICMB 101992
ICMB 101992:4	ICMB 101992
ICMB 101992:5	ICMB 101992
ICMB 101426:1	ICMB 101426
ICMB 101426:2	ICMB 101426
ICMB 101426:3	ICMB 101426
ICMB 101426:4	ICMB 101426
ICMB 101426:5	ICMB 101426
ICMB 101993:1	ICMB 101993
ICMB 101993:2	ICMB 101993
ICMB 101993:3	ICMB 101993
ICMB 101993:4	ICMB 101993
ICMB 101993:5	ICMB 101993
ICMB 100613:1	ICMB 100613
ICMB 100613:2	ICMB 100613
ICMB 100613:3	ICMB 100613
ICMB 100613:4	ICMB 100613
ICMB 100613:5	ICMB 100613
ICMB 101806:1	ICMB 101806
ICMB 101806:2	ICMB 101806
ICMB 101806:3	ICMB 101806
ICMB 101806:4	ICMB 101806
ICMB 101806:5	ICMB 101806
ICMR 14222:1	ICMR 14222
ICMR 14222:2	ICMR 14222
ICMR 14222:3	ICMR 14222
ICMR 14222:4	ICMR 14222
ICMR 14222:5	ICMR 14222
ICMR 16444:1	ICMR 16444
ICMR 16444:2	ICMR 16444
ICMR 16444:3	ICMR 16444
ICMR 16444:4	ICMR 16444
ICMR 16444:5	ICMR 16444
ICMR 101049:1	ICMR 101049
ICMR 101049:2	ICMR 101049
ICMR 101049:3	ICMR 101049
ICMR 101049:4	ICMR 101049
ICMR 101049:5	ICMR 101049
ICMR 101049:6	ICMR 101049
ICMR 101140:1	ICMR 101140
ICMR 101140:2	ICMR 101140
ICMR 101140:3	ICMR 101140
ICMR 101140:4	ICMR 101140
ICMR 101140:5	ICMR 101140
ICMR 101140:6	ICMR 101140
ICMR 101779:1	ICMR 101779
ICMR 101779:2	ICMR 101779
ICMR 101779:3	ICMR 101779
ICMR 101779:4	ICMR 101779
ICMR 101779:5	ICMR 101779
ICMR 101779:6	ICMR 101779
ICMR 101742:1	ICMR 101742
ICMR 101742:2	ICMR 101742
ICMR 101742:3	ICMR 101742
ICMR 101742:4	ICMR 101742
ICMR 101742:5	ICMR 101742
ICMR 101742:6	ICMR 101742
ICMR 102337:1	ICMR 102337
ICMR 102337:2	ICMR 102337
ICMR 102337:3	ICMR 102337
ICMR 102337:4	ICMR 102337
ICMR 102337:5	ICMR 102337
ICMR 102337:6	ICMR 102337
ICMR 102354:1	ICMR 102354
ICMR 102354:2	ICMR 102354
ICMR 102354:3	ICMR 102354
ICMR 102354:4	ICMR 102354
ICMR 102354:5	ICMR 102354
ICMR 102354:6	ICMR 102354
ICMR 102549:1	ICMR 102549
ICMR 102549:2	ICMR 102549
ICMR 102549:3	ICMR 102549
ICMR 102549:4	ICMR 102549
ICMR 102549:5	ICMR 102549
ICMR 102549:6	ICMR 102549
ICMR 100499:1	ICMR 100499
ICMR 100499:2	ICMR 100499
ICMR 100499:3	ICMR 100499
ICMR 100499:4	ICMR 100499
ICMR 100499:5	ICMR 100499
ICMR 100499:6	ICMR 100499
ICMR 101699:1	ICMR 101699
ICMR 101699:2	ICMR 101699
ICMR 101699:3	ICMR 101699
ICMR 101699:4	ICMR 101699
ICMR 101699:5	ICMR 101699
ICMR 101699:6	ICMR 101699
ICMR 102389:1	ICMR 102389
ICMR 102389:2	ICMR 102389
ICMR 102389:3	ICMR 102389
ICMR 102389:4	ICMR 102389
ICMR 102389:5	ICMR 102389
ICMR 102389:6	ICMR 102389
ICMR 100505:1	ICMR 100505
ICMR 100505:2	ICMR 100505
ICMR 100505:3	ICMR 100505
ICMR 100505:4	ICMR 100505
ICMR 100505:5	ICMR 100505
ICMR 100505:6	ICMR 100505
ICMR 102434:1	ICMR 102434
ICMR 102434:2	ICMR 102434
ICMR 102434:3	ICMR 102434
ICMR 102434:4	ICMR 102434
ICMR 102434:5	ICMR 102434
ICMR 102434:6	ICMR 102434
ICMR 100540:1	ICMR 100540
ICMR 100540:2	ICMR 100540
ICMR 100540:3	ICMR 100540
ICMR 100540:4	ICMR 100540
ICMR 100540:5	ICMR 100540
ICMR 100540:6	ICMR 100540
ICMR 100509:1	ICMR 100509
ICMR 100509:2	ICMR 100509
ICMR 100509:3	ICMR 100509
ICMR 100509:4	ICMR 100509
ICMR 100509:5	ICMR 100509
ICMR 100509:6	ICMR 100509
ICMR 102004:1	ICMR 102004
ICMR 102004:2	ICMR 102004
ICMR 102004:3	ICMR 102004
ICMR 102004:4	ICMR 102004
ICMR 102004:5	ICMR 102004
ICMR 102004:6	ICMR 102004
ICMR 101087:1	ICMR 101087
ICMR 101087:2	ICMR 101087
ICMR 101087:3	ICMR 101087
ICMR 101087:4	ICMR 101087
ICMR 101087:5	ICMR 101087
ICMR 101087:6	ICMR 101087
ICMR 19888:1	ICMR 19888
